symbol,current_price,target-price,difference
A,98.3,81.5,-16.799999999999997
AA,14.6,12.5,-2.0999999999999996
AAAU,19.32,0,-19.32
AACG,1.13,0,-1.13
AACQU,10.03,0,-10.03
AADR,56.31,0,-56.31
AAL,12.16,13,0.8399999999999999
AAMC,18.5,0,-18.5
AAME,2.04,0,-2.04
AAN,56.72,30,-26.72
AAOI,11.65,8.6,-3.0500000000000007
AAON,58.58,42.5,-16.08
AAP,156.11,133,-23.110000000000014
AAPL,497.48,400,-97.48000000000002
AAT,24.99,28,3.0100000000000016
AAU,0.7099,0,-0.7099
AAWW,57.72,51,-6.719999999999999
AAXJ,76.94,0,-76.94
AAXN,82.61,102,19.39
AB,28.65,30,1.3500000000000014
ABB,25.84,26.5,0.6600000000000001
ABBV,94.86,107,12.14
ABC,98.15,102,3.8499999999999943
ABCB,23.73,28.5,4.77
ABEO,2.47,8,5.529999999999999
ABEQ,23.4,0,-23.4
ABEV,2.33,3.5,1.17
ABG,103.09,102,-1.0900000000000034
ABIO,5.58,7,1.42
ABM,37.22,45,7.780000000000001
ABMD,307.57,220,-87.57
ABR,11.1,9.5,-1.5999999999999996
ABR-C,0,0,0
ABT,102.4,105,2.5999999999999943
ABTX,24.67,27,2.3299999999999983
ABUS,3.18,9,5.82
AC,38.01,0,-38.01
ACA,45.32,48,2.6799999999999997
ACAD,38.32,58,19.68
ACAM,10.1,0,-10.1
ACAMU,10.3,0,-10.3
ACAMW,0.9,0,-0.9
ACB,9.41,0,-9.41
ACBI,10.85,14.5,3.6500000000000004
ACC,32.53,38,5.469999999999999
ACCD,39.69,0,-39.69
ACCO,6.74,12,5.26
ACEL,12.19,11.5,-0.6899999999999995
ACER,2.72,10,7.279999999999999
ACES,51.5,0,-51.5
ACEVU,9.97,0,-9.97
ACGL,30.9,39,8.100000000000001
ACGLO,26.27,0,-26.27
ACGLP,25.62,0,-25.62
ACH,6.66,14.51,7.85
ACHC,29.61,33,3.3900000000000006
ACHV,8.45,2,-6.449999999999999
ACI,14.9,0,-14.9
ACIA,67.71,70,2.2900000000000063
ACIO,26.89,0,-26.89
ACIU,7.69,12.05,4.36
ACIW,29.71,35,5.289999999999999
ACLS,24.55,27,2.4499999999999993
ACM,38.28,45,6.719999999999999
ACMR,96.17,45,-51.17
ACN,237.49,185,-52.49000000000001
ACNB,21.4,0,-21.4
ACND=,0,0,0
ACOR,0.61,2,1.3900000000000001
ACP,10.67,0,-10.67
ACRE,9.6,9.5,-0.09999999999999964
ACRS,2.55,5,2.45
ACRX,1.37,7,5.63
ACSG,27.594,0,-27.594
ACSI,37.677,0,-37.677
ACST,0.77,2.52,1.75
ACT,25.695,0,-25.695
ACTG,3.92,6.5,2.58
ACU,23.99,25.5,1.5100000000000016
ACV,26.57,37.5,10.93
ACWF,30.096,0,-30.096
ACWI,80.62,0,-80.62
ACWV,92.34,0,-92.34
ACWX,46.45,0,-46.45
ACY,2.34,10.5,8.16
ADAP,8.43,4,-4.43
ADBE,473.22,435,-38.22000000000003
ADC,66.9,75,8.099999999999994
ADCT,42.52,12.75,-29.770000000000003
ADES,4.11,18.5,14.39
ADI,116.02,136,19.980000000000004
ADIL,1.46,5,3.54
ADILW,0.3101,0,-0.3101
ADM,43.59,47,3.4099999999999966
ADMA,2.52,11,8.48
ADME,0,0,0
ADMP,0.89,1.25,0.36
ADMS,4.51,7.25,2.74
ADNT,17.36,20,2.6400000000000006
ADP,138.08,153,14.919999999999987
ADPT,43.24,50,6.759999999999998
ADRE,45.96,0,-45.96
ADRO,3.05,3.75,0.7000000000000002
ADS,43.19,57,13.810000000000002
ADSK,248.27,205,-43.27000000000001
ADSW,30.14,30.15,0.00999999999999801
ADT,11.46,8,-3.460000000000001
ADTN,11.57,13,1.4299999999999997
ADTX,4.07,0,-4.07
ADUS,95.94,102.5,6.560000000000002
ADVM,12.97,17,4.029999999999999
ADX,16.37,0,-16.37
ADXN,14.1,0,-14.1
ADXS,0.462,5,4.538
AE,22.71,27.28,4.57
AEB,24.53,0,-24.53
